Date	Open	High	Low	Close	Volume	Adj Closeg
Nov 27, 2015	17,806.04	17,830.36	17,749.32	17,813.39	82,540,000	17,813.39
Nov 25, 2015	17,820.81	17,854.92	17,801.83	17,813.39	82,540,000	17,813.39
Nov 24, 2015	17,770.90	17,862.60	17,683.51	17,812.19	127,170,000	17,812.19
Nov 23, 2015	17,823.61	17,868.18	17,751.53	17,792.68	134,680,000	17,792.68
Nov 20, 2015	17,732.75	17,914.34	17,732.75	17,823.81	153,140,000	17,823.81
Nov 19, 2015	17,739.83	17,772.97	17,681.98	17,732.75	114,630,000	17,732.75
Nov 18, 2015	17,485.49	17,752.16	17,485.49	17,737.16	106,810,000	17,737.16
Nov 17, 2015	17,486.99	17,599.33	17,451.41	17,489.50	167,190,000	17,489.50
Nov 16, 2015	17,229.94	17,483.01	17,210.43	17,483.01	137,590,000	17,483.01
Nov 13, 2015	17,439.25	17,439.25	17,238.89	17,245.24	134,640,000	17,245.24
Nov 12, 2015	17,691.93	17,691.93	17,443.50	17,448.07	113,660,000	17,448.07
Nov 11, 2015	17,769.50	17,807.18	17,696.91	17,702.22	95,230,000	17,702.22
Nov 10, 2015	17,724.13	17,768.66	17,657.72	17,758.21	108,640,000	17,758.21
Nov 9, 2015	17,900.78	17,900.78	17,667.78	17,730.48	121,210,000	17,730.48
Nov 6, 2015	17,855.22	17,912.04	17,768.60	17,910.33	107,450,000	17,910.33
Nov 5, 2015	17,871.25	17,929.51	17,779.19	17,863.43	98,910,000	17,863.43
Nov 4, 2015	17,929.58	17,964.12	17,828.83	17,867.58	99,890,000	17,867.58
Nov 3, 2015	17,819.74	17,977.85	17,796.02	17,918.15	92,290,000	17,918.15
Nov 2, 2015	17,672.62	17,845.90	17,655.02	17,828.76	100,840,000	17,828.76
Oct 30, 2015	17,756.60	17,799.96	17,662.87	17,663.54	149,250,000	17,663.54
Oct 29, 2015	17,771.50	17,786.00	17,684.72	17,755.80	90,300,000	17,755.80
Oct 28, 2015	17,586.69	17,779.95	17,556.71	17,779.52	115,630,000	17,779.52
Oct 27, 2015	17,608.89	17,635.18	17,540.57	17,581.43	113,960,000	17,581.43
Oct 26, 2015	17,649.57	17,660.70	17,602.51	17,623.05	116,660,000	17,623.05
Oct 23, 2015	17,525.11	17,679.37	17,525.11	17,646.70	158,090,000	17,646.70
Oct 22, 2015	17,180.88	17,505.18	17,180.88	17,489.16	152,420,000	17,489.16
Oct 21, 2015	17,225.93	17,314.99	17,153.13	17,168.61	107,100,000	17,168.61
Oct 20, 2015	17,228.47	17,264.88	17,147.99	17,217.11	106,670,000	17,217.11
Oct 19, 2015	17,209.43	17,235.95	17,129.19	17,230.54	118,430,000	17,230.54
Oct 16, 2015	17,141.75	17,220.02	17,107.35	17,215.97	145,880,000	17,215.97
Oct 15, 2015	16,944.86	17,144.42	16,933.57	17,141.75	122,960,000	17,141.75
Oct 14, 2015	17,079.08	17,111.38	16,887.67	16,924.75	120,110,000	16,924.75
Oct 13, 2015	17,113.55	17,172.81	17,034.45	17,081.89	99,400,000	17,081.89
Oct 12, 2015	17,082.29	17,139.21	17,064.58	17,131.86	72,500,000	17,131.86
Oct 9, 2015	17,054.69	17,110.88	17,027.23	17,084.49	103,730,000	17,084.49
Oct 8, 2015	16,904.17	17,081.28	16,859.34	17,050.75	100,730,000	17,050.75
Oct 7, 2015	16,805.42	16,963.30	16,765.00	16,912.29	115,690,000	16,912.29
Oct 6, 2015	16,774.02	16,865.09	16,746.03	16,790.19	120,010,000	16,790.19
Oct 5, 2015	16,502.10	16,798.37	16,502.10	16,776.43	127,660,000	16,776.43
Oct 2, 2015	16,258.25	16,472.77	16,013.66	16,472.37	136,890,000	16,472.37
Oct 1, 2015	16,278.62	16,348.87	16,073.82	16,272.01	111,420,000	16,272.01
